10	0.73000	85839.65000	70916.26000	156755.90000
20	1.33000	86987.22000	73978.52000	160965.74000
40	2.68000	89697.37000	90215.23000	179912.60000
60	4.48000	94949.22000	96082.42000	191031.64000
80	4.53000	121716.13000	119652.95000	241369.08000
100	5.24000	137832.39000	116536.80000	254369.19000
